export,config,model,effort,level,prompt_id,prompt_number,in_comparison,metric,value
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,prompt_words,35
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,wall_s,1103.1
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,active_s,1103.1
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,waiting_s,0.0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,thinking_s,800.7
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,text_s,6.9
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,tool_s,247.5
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,other_s,47.9
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,segments,1
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,typed_continues,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,auto_continues,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,incomplete,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,tool_calls,26
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_bash_tool,13
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_create_file,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_str_replace,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_view,6
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_web_search,4
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_web_fetch,1
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_present_files,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_chart_display_v0,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_visualize:show_widget,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_visualize:read_me,1
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,n_Artifact,1
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,tool_errors,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,bash_nonzero_exit,1
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,thinking_blocks,18
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,thinking_summaries,90
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,text_blocks,2
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,prompt_chars,189
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,final_answer_words,560
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,final_answer_chars,3169
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,images,0
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,html_reports,1
